Symbol ,Date ,PREV. CLOSE ,Open Price ,High Price ,Low Price ,Close Price ,Total Traded Quantity ,Total Traded Value in Rs.,Number of Trades 
HCLTECH,10-Jul-25,0.49,0.4,0.5,0.4,0.5,820,409,4
HCLTECH,09-Jul-25,0.49,0.5,1,0.48,0.49,"20,682","10,621.00",21
HCLTECH,08-Jul-25,0.5,0.5,0.6,0.4,0.49,"38,350","17,800.00",63
HCLTECH,08-Jul-25,0.9,0.5,0.5,0.5,0.5,45,23,1
HCLTECH,07-Jul-25,0.89,0.5,0.5,0.49,0.5,"31,100","15,550.00",51
HCLTECH,07-Jul-25,0.5,0.9,0.9,0.9,0.9,"8,051","7,246.00",3
HCLTECH,04-Jul-25,2.99,0.7,0.7,0.5,0.5,"6,199","3,500.00",8
HCLTECH,01-Jul-25,0.25,1,1,0.89,0.89,362,361,2
HCLTECH,26-Jun-25,1.94,0.5,0.5,0.5,0.5,500,250,1
HCLTECH,18-Jun-25,1,0.25,0.25,0.25,0.25,"4,500","1,125.00",3
HCLTECH,06-Jun-25,2.99,1,1,1,1,"1,000","1,000.00",1
HCLTECH,02-Jun-25,1.98,1.94,1.94,1.94,1.94,102,198,1
HCLTECH,30-May-25,1.1,1.98,1.98,1.98,1.98,18,36,1
HCLTECH,21-May-25,1.97,0.25,1,0.25,1,55,49,2
HCLTECH,20-May-25,1.97,1.97,1.97,1.97,1.97,28,55,1
HCLTECH,14-May-25,1.98,1.97,1.97,1.97,1.97,73,144,1
HCLTECH,12-May-25,0.5,1.1,1.1,1.1,1.1,"1,000","1,100.00",4
HCLTECH,08-May-25,1.98,0.55,0.55,0.5,0.5,"4,442","2,274.00",5
HCLTECH,24-Apr-25,1.1,1.98,1.98,1.98,1.98,221,438,1
HCLTECH,22-Apr-25,1.69,1.4,1.4,1,1,"1,683","2,043.00",2
HCLTECH,16-Apr-25,1.1,1.1,1.1,1.1,1.1,"1,000","1,100.00",3
HCLTECH,11-Apr-25,1.79,1.69,1.69,1.69,1.69,22,37,1
HCLTECH,11-Apr-25,1.1,1.1,1.1,1.1,1.1,"1,000","1,100.00",1
HCLTECH,09-Apr-25,0.55,1.1,1.1,1.1,1.1,"1,000","1,100.00",1
HCLTECH,09-Apr-25,1.1,1.79,1.79,1.79,1.79,34,61,1
HCLTECH,02-Apr-25,0.45,1.1,1.1,1.1,1.1,"1,000","1,100.00",2
HCLTECH,28-Mar-25,0.5,0.55,0.55,0.55,0.55,"6,978","3,838.00",7
HCLTECH,28-Mar-25,1.1,0.5,0.5,0.45,0.45,"4,350","2,055.00",4
HCLTECH,21-Mar-25,1.1,1.1,1.1,1.1,1.1,"1,000","1,100.00",5
HCLTECH,18-Mar-25,1,1.1,1.1,1.1,1.1,500,550,5
HCLTECH,17-Mar-25,0.5,1.1,1.1,1,1,"1,000","1,090.00",2
HCLTECH,13-Mar-25,1.99,1.1,1.1,1.1,1.1,"1,050","1,155.00",2
HCLTECH,13-Mar-25,1.98,0.5,0.5,0.5,0.5,30,15,1
HCLTECH,21-Feb-25,0.5,1.99,1.99,1.99,1.99,32,64,1
